"Topic","TitleText","TitleLink","PDFText","PDFLink","AbstractText","AuthorText"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","German: A linguistic introduction","https://iro.uiowa.edu/esploro/outputs/9983903698502771?institution=01IOWA_INST&skipUsageReporting=true&recordUsage=false"," "," ","… Standard German is spoken by approximately 95 million people worldwide. … the linguisticstructure of standard German that is rich in descriptive detail and grounded in modern linguistic …","SMB Fagan"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The dialects of modern German: A linguistic survey","https://www.taylorfrancis.com/books/mono/10.4324/9781315001777/dialects-modern-german-charles-russ","[PDF] mun.ca","https://dai.mun.ca/PDFs/lorelang/LoreandLanguageVol10No021991.pdf#page=93","… dialects' in this sense since they were linguistically far further removed from German thanFrisian. The dialects are described in contrast to New High German, or standard German, …","C Russ"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The German language today: A linguistic introduction","https://www.taylorfrancis.com/books/mono/10.4324/9780203425770/german-language-today-charles-russ"," "," ","… States, where varieties which seem similar or related to German are used. In this book weshall include spoken regional varieties of German within our definition of German, although we …","C Russ"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","German","https://www.torrossa.com/gs/resourceProxy?an=5002456&publisher=FZ4850#page=218","[PDF] ethernet.edu.et","http://ndl.ethernet.edu.et/bitstream/123456789/56625/1/125PDF.pdf#page=218","… and the speakers’ tolerance towards this abundance was reduced to two regionally andculturally diŸerent normative (High) varieties, Luther-German and ‘general German’. The result …","KJ Mattheier"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Development of linguistic forms: German","https://www.taylorfrancis.com/chapters/edit/10.4324/9780203773512-10/development-linguistic-forms-german-michael-bamberg"," "," ","… of the book, is concerned with linguistic forms and how they … this investigation of how linguisticforms are deployed. On the … consequences for the notion of linguistic forms. Forms do not …","M Bamberg"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","On three types of dialect variation and their implications for linguistic theory. Evidence from verb clusters in Swiss German dialects","https://www.degruyter.com/document/doi/10.1515/9783110197327/pdf?licenseType=restricted#page=373","[PDF] psu.edu","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=598db2c604b81f0217c3654281c0fc73917459aa","… The benefit of dialectology for linguistic typology is obvious … add to our knowledge of linguisticstructure. Second, dialects … of the investigation of cross-linguistic variability. Therefore, the …","G Seiler"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Identification of regional varieties by intonational cues: An experimental study on Hamburg and Berlin German","https://journals.sagepub.com/doi/abs/10.1177/00238309020450020201","[PDF] academia.edu","https://www.academia.edu/download/42966445/Identification_of_Regional_Varieties_by_20160223-14689-1vlp1mz.pdf","… of different German varieties, like the Palatinate or Bavarian dialect, could be distinguishedby intonational features alone (Socin, 1888, p.485). Later research has used a variety of …","J Peters, P Gilles, P Auer, M Selting"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Demotisationof the standard variety or destandardisation? The changing status of German in late modernity (with special reference to south-western Germany)","https://lanchart.hum.ku.dk/research/slice/publications-and-news-letters/publications/Tore_Kristiansen_and_Nikolas_Coupland__Eds.__Standard_Languages_and_Language_Standards_in_a_Changing_Europe.pdf#page=161","[PDF] ku.dk","https://lanchart.hum.ku.dk/research/slice/publications-and-news-letters/publications/Tore_Kristiansen_and_Nikolas_Coupland__Eds.__Standard_Languages_and_Language_Standards_in_a_Changing_Europe.pdf#page=161","… variety of German. The written standard was firmly established and codified throughout theGerman-… Remnants of the regional standard varieties of spoken German that emerged in the …","P Auer, H Spiekermann"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Linguistic variation and the construction of social identity in a German-Turkish setting","https://www.torrossa.com/gs/resourceProxy?an=5002083&publisher=FZ4850#page=38","[PDF] bsz-bw.de","https://ids-pub.bsz-bw.de/files/5332/Kallmeyer_Keim_Linguistic_variation_2003.pdf","… German and language mixing varieties, especially: –the German variety learned at theGerman school, which corresponds to nearstandard German with local in¶ uences; this variety is …","W Kallmeyer, I Keim"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Glycaemic and insulinaemic properties of some German honey varieties","https://www.nature.com/articles/ejcn2009103","[PDF] academia.edu","https://www.academia.edu/download/71176058/ejcn2009103.pdf","… available for honey varieties, particularly for German products. … responses of eight varietiesof German honey differ in their … ) single servings of eight German honey varieties and a 25 g …","P Deibert, D König, B Kloock, M Groenefeld…"
